GEO_ID,NAME,P9_001N,P9_002N,P9_003N,P9_004N,P9_005N,P9_006N,P9_007N,P9_008N,P9_009N,P9_010N,P9_011N
860Z200US01040,01040,38238,19597,18641,17804,16084,1098,39,390,24,169,837
860Z200US01050,01050,2467,104,2363,2252,2210,12,1,16,0,13,111
860Z200US01053,01053,2031,96,1935,1860,1777,49,3,19,0,12,75
860Z200US01054,01054,1889,79,1810,1708,1626,28,2,36,1,15,102
860Z200US01056,01056,21002,1743,19259,18549,17770,469,17,244,1,48,710
860Z200US01057,01057,8152,248,7904,7637,7464,54,16,57,2,44,267
860Z200US01060,01060,14461,1432,13029,12293,11164,390,20,608,10,101,736
860Z200US01062,01062,10910,900,10010,9488,8956,226,10,245,0,51,522
860Z200US01063,01063,2106,259,1847,1705,1115,164,1,415,0,10,142
860Z200US01066,01066,215,15,200,199,181,5,2,7,1,3,1
860Z200US01068,01068,1904,71,1833,1764,1722,17,3,18,0,4,69
860Z200US01069,01069,8428,489,7939,7568,7240,153,21,138,1,15,371
860Z200US01070,01070,577,23,554,525,519,2,1,2,0,1,29
860Z200US01071,01071,1486,42,1444,1396,1378,12,4,2,0,0,48
860Z200US01072,01072,1366,54,1312,1233,1208,8,1,9,0,7,79
860Z200US01073,01073,6224,206,6018,5803,5707,24,0,55,1,16,215
860Z200US01074,01074,584,42,542,516,495,9,1,11,0,0,26
860Z200US01075,01075,18168,1310,16858,16170,14692,444,15,934,3,82,688
860Z200US01077,01077,9237,325,8912,8573,8408,45,13,85,4,18,339
860Z200US01079,01079,701,53,648,623,609,7,3,4,0,0,25
860Z200US01080,01080,2400,208,2192,2111,2023,65,1,16,0,6,81
860Z200US01081,01081,1684,41,1643,1585,1551,4,9,1,0,20,58
860Z200US01082,01082,10565,785,9780,9274,8978,137,30,74,10,45,506
860Z200US01083,01083,2549,111,2438,2329,2274,22,1,17,0,15,109
860Z200US01084,01084,185,10,175,172,171,0,1,0,0,0,3
860Z200US01085,01085,41529,3950,37579,36097,34208,710,68,945,13,153,1482
860Z200US01088,01088,598,17,581,548,533,4,0,8,0,3,33
860Z200US01089,01089,28835,4020,24815,23757,20751,1017,35,1841,8,105,1058
860Z200US01092,01092,1343,59,1284,1220,1211,5,2,2,0,0,64
860Z200US01093,01093,290,5,285,281,277,2,0,2,0,0,4
860Z200US01094,01094,60,3,57,55,54,1,0,0,0,0,2
860Z200US01095,01095,14694,785,13909,13412,12642,365,8,347,1,49,497
860Z200US01096,01096,2509,63,2446,2349,2319,8,3,9,0,10,97
860Z200US01097,01097,130,14,116,112,109,1,0,0,0,2,4
